fips_code,name,service_area_net_generation_mwh,fuel_type,year
0262125,Pope-Vannoy Landing,,,
0252210,Nanwalek,391019,Water at Hydroelectric Turbine,2021
0253050,Nenana,105907,Distillate Fuel Oil,2021
0224230,Fairbanks,-3433,Electricity used for Energy Storage,2021
0233030,Holy Cross,576,Distillate Fuel Oil,2021
0284200,Whitestone Logging Camp,1489,Water at Hydroelectric Turbine,2021
0278680,Trapper Creek,678574,Natural Gas,2021
0218805,Denali Park,752897,Coal,2021
0218620,Delta Junction,752897,Coal,2021
0224230,Fairbanks,375532,Waste Oil,2021
0217410,Cordova,-86,Electricity used for Energy Storage,2021
0230500,Gulkana,58733,Water at Hydroelectric Turbine,2021
0213230,Chevak,1796,Distillate Fuel Oil,2021
0257340,Old Harbor,808,Distillate Fuel Oil,2021
0233470,Hooper Bay,3312,Distillate Fuel Oil,2021
0233580,Hope,,,
0240400,Klawock,1640,Distillate Fuel Oil,2021
0239740,Kipnuk,672,Wind,2021
0238910,Kenny Lake,25548,Waste Oil,2021
0215430,Clark's Point,,,
0226910,Fox River,391019,Water at Hydroelectric Turbine,2021
0203220,Anderson,,,
0224980,Farmers Loop,672,Jet Fuel,2021
0270320,Silver Springs,58733,Water at Hydroelectric Turbine,2021
0274525,Sutton-Alpine,,,
0223460,Ester,672,Jet Fuel,2021
0279780,Twin Hills,,,
0256680,Nunapitchuk,2469,Distillate Fuel Oil,2021
0261788,Point MacKenzie,139995,Water at Hydroelectric Turbine,2021
0215320,Clam Gulch,224,Distillate Fuel Oil,2021
0205000,Badger,-3433,Electricity used for Energy Storage,2021
0203220,Anderson,4,Natural Gas,2021
0284000,Whale Pass,484,Distillate Fuel Oil,2021
0268370,Seldovia Village,531260,Natural Gas,2021
0228740,Glennallen,58733,Water at Hydroelectric Turbine,2021
0256600,Nunam Iqua,871,Distillate Fuel Oil,2021
0272135,South Lakes,678574,Natural Gas,2021
0225550,Fishhook,139995,Water at Hydroelectric Turbine,2021
0226870,Fox,105907,Distillate Fuel Oil,2021
0204210,Atka,58,Distillate Fuel Oil,2021
0227640,Gambell,73,Wind,2021
0213340,Chickaloon,139995,Water at Hydroelectric Turbine,2021
0261120,Pleasant Valley,752897,Coal,2021
0242805,Lake Louise,,,
0245020,Loring,,,
0279830,Two Rivers,60301,Wind,2021
0226835,Four Mile Road,-3433,Electricity used for Energy Storage,2021
0255745,North Lakes,38071,Landfill Gas,2021
0246010,McGrath,2161,Distillate Fuel Oil,2021
0225220,Ferry,105907,Distillate Fuel Oil,2021
0284120,Whitestone,-3433,Electricity used for Energy Storage,2021
0260460,Petersville,,,
0240670,Knik River,678574,Natural Gas,2021
0250190,Moose Pass,2,Distillate Fuel Oil,2021
0243260,Lazy Mountain,139995,Water at Hydroelectric Turbine,2021
0275077,Tanaina,38071,Landfill Gas,2021
0268340,Seldovia,,,
0224230,Fairbanks,4,Natural Gas,2021
0227530,Galena,5361,Distillate Fuel Oil,2021
0223460,Ester,,,
0250800,Mosquito Lake,,,
0212920,Chena Ridge,672,Jet Fuel,2021
0265345,Ridgeway,531260,Natural Gas,2021
0238090,Kasilof,391019,Water at Hydroelectric Turbine,2021
0272985,Steele Creek,4,Natural Gas,2021
0207070,Big Lake,139995,Water at Hydroelectric Turbine,2021
0227090,Fritz Creek,,,
0279230,Tununak,,,
0274350,Susitna North,,,
0213450,Chicken,,,
0209710,Butte,38071,Landfill Gas,2021
0233580,Hope,1805318,Natural Gas,2021
0225550,Fishhook,,,
0263870,Port Protection,,,
0218805,Denali Park,375532,Waste Oil,2021
0235890,Ivanof Bay,,,
0256320,Nuiqsut,4667,Natural Gas,2021
0262510,Port Alexander,,,
0273290,Stevens Village,,,
0229180,Golovin,950,Distillate Fuel Oil,2021
0252915,Nelchina,12132,Distillate Fuel Oil,2021
0203220,Anderson,-3433,Electricity used for Energy Storage,2021
0223900,Excursion Inlet,,,
0233580,Hope,2,Distillate Fuel Oil,2021
0272230,South Van Horn,60301,Wind,2021
0272230,South Van Horn,4,Natural Gas,2021
0203220,Anderson,375532,Waste Oil,2021
0266550,Salcha,-3433,Electricity used for Energy Storage,2021
0248590,Mertarvik,,,
0264930,Red Devil,374,Distillate Fuel Oil,2021
0213860,Chiniak,25237,Wind,2021
0226100,Fort Greely,105968,Distillate Fuel Oil,2021
0221810,Ekwok,,,
0253050,Nenana,672,Jet Fuel,2021
0227640,Gambell,4427,Distillate Fuel Oil,2021
0221370,Eielson AFB,672,Jet Fuel,2021
0260860,Pitkas Point,3651,Distillate Fuel Oil,2021
0201560,Aleneva,,,
0252720,Napaskiak,1131,Distillate Fuel Oil,2021
0233800,Houston,139995,Water at Hydroelectric Turbine,2021
0275077,Tanaina,,,
0252390,Napakiak,,,
0275160,Tanana,1248,Distillate Fuel Oil,2021
0217740,Craig,1640,Distillate Fuel Oil,2021
0240670,Knik River,139995,Water at Hydroelectric Turbine,2021
0229130,Goldstream,672,Jet Fuel,2021
0282200,Valdez,25548,Waste Oil,2021
0226100,Fort Greely,672,Jet Fuel,2021
0251180,Mountain Village,2063,Wind,2021
0245460,Lower Kalskag,1544,Distillate Fuel Oil,2021
0267020,Sand Point,136,Wind,2021
0250080,Moose Creek,672,Jet Fuel,2021
0216530,Cold Bay,2426,Distillate Fuel Oil,2021
0227145,Funny River,224,Distillate Fuel Oil,2021
0240645,Knik-Fairview,,,
0223720,Eureka Roadhouse,12132,Distillate Fuel Oil,2021
0221370,Eielson AFB,375532,Waste Oil,2021
0241830,Kotzebue,,,
0254085,Nikolaevsk,391019,Water at Hydroelectric Turbine,2021
0277690,Togiak,3271,Distillate Fuel Oil,2021
0261630,Point Hope,,,
0282420,Venetie,346,Distillate Fuel Oil,2021
0210150,Cantwell,60301,Wind,2021
0255745,North Lakes,139995,Water at Hydroelectric Turbine,2021
0234790,Igiugig,340,Distillate Fuel Oil,2021
0263280,Port Graham,391019,Water at Hydroelectric Turbine,2021
0260750,Pilot Station,3754,Distillate Fuel Oil,2021
0225220,Ferry,60301,Wind,2021
0207070,Big Lake,38071,Landfill Gas,2021
0203110,Anchor Point,391019,Water at Hydroelectric Turbine,2021
0201970,Ambler,2661,Distillate Fuel Oil,2021
0237540,Karluk,208,Distillate Fuel Oil,2021
0206850,Big Delta,105907,Distillate Fuel Oil,2021
0278680,Trapper Creek,38071,Landfill Gas,2021
0253710,New Stuyahok,3844,Distillate Fuel Oil,2021
0256680,Nunapitchuk,324,Wind,2021
0250080,Moose Creek,,,
0226870,Fox,60301,Wind,2021
0272960,Stebbins,7127,Distillate Fuel Oil,2021
0244580,Livengood,4,Natural Gas,2021
0200065,Adak,1847,Distillate Fuel Oil,2021
0224660,False Pass,663,Distillate Fuel Oil,2021
0209710,Butte,678574,Natural Gas,2021
0242380,Kwethluk,1799,Distillate Fuel Oil,2021
0239960,Kivalina,3748,Distillate Fuel Oil,2021
0218620,Delta Junction,60301,Wind,2021
0216750,College,-3433,Electricity used for Energy Storage,2021
0275050,Tanacross,10385,Distillate Fuel Oil,2021
0221150,Egegik,647,Distillate Fuel Oil,2021
0206850,Big Delta,,,
0272230,South Van Horn,672,Jet Fuel,2021
0216750,College,672,Jet Fuel,2021
0218925,Diamond Ridge,224,Distillate Fuel Oil,2021
0212350,Chase,,,
0226760,Fort Yukon,2547,Distillate Fuel Oil,2021
0210150,Cantwell,105907,Distillate Fuel Oil,2021
0272985,Steele Creek,752897,Coal,2021
0221370,Eielson AFB,,,
0237250,Kalifornsky,391019,Water at Hydroelectric Turbine,2021
0270930,Slana,,,
0232810,Hollis,22729,Water at Hydroelectric Turbine,2021
0203110,Anchor Point,224,Distillate Fuel Oil,2021
0274830,Talkeetna,38071,Landfill Gas,2021
0279890,Tyonek,2049,Natural Gas,2021
0265700,Russian Mission,951,Distillate Fuel Oil,2021
0232810,Hollis,1640,Distillate Fuel Oil,2021
0214880,Circle,421,Distillate Fuel Oil,2021
0242490,Kwigillingok,1143,Distillate Fuel Oil,2021
0241940,Koyuk,2573,Distillate Fuel Oil,2021
0221370,Eielson AFB,105907,Distillate Fuel Oil,2021
0253270,Newhalen,,,
0203110,Anchor Point,531260,Natural Gas,2021
0241210,Kodiak Station,-537,Electricity used for Energy Storage,2021
0278680,Trapper Creek,139995,Water at Hydroelectric Turbine,2021
0259320,Paxson,,,
0259540,Pedro Bay,210,Distillate Fuel Oil,2021
0216750,College,752897,Coal,2021
0215320,Clam Gulch,531260,Natural Gas,2021
0282860,Wales,661,Distillate Fuel Oil,2021
0241210,Kodiak Station,0,Distillate Fuel Oil,2021
0268370,Seldovia Village,391019,Water at Hydroelectric Turbine,2021
0237975,Kasigluk,2469,Distillate Fuel Oil,2021
0283080,Wasilla,38071,Landfill Gas,2021
0281920,Utqiagvik,47330,Natural Gas,2021
0253930,Nightmute,,,
0220970,Edna Bay,,,
0210150,Cantwell,672,Jet Fuel,2021
0253050,Nenana,4,Natural Gas,2021
0272985,Steele Creek,105907,Distillate Fuel Oil,2021
0270320,Silver Springs,12132,Distillate Fuel Oil,2021
0263280,Port Graham,,,
0236400,Juneau,-1318,Distillate Fuel Oil,2021
0227145,Funny River,531260,Natural Gas,2021
0256350,Nulato,1072,Distillate Fuel Oil,2021
0272190,South Naknek,24331,Distillate Fuel Oil,2021
0232810,Hollis,,,
0259650,Pelican,881,Water at Hydroelectric Turbine,2021
0239410,King Cove,,,
0211690,Central,461,Distillate Fuel Oil,2021
0284070,White Mountain,891,Distillate Fuel Oil,2021
0217740,Craig,22729,Water at Hydroelectric Turbine,2021
0232150,Healy,-3433,Electricity used for Energy Storage,2021
0236540,Kachemak,391019,Water at Hydroelectric Turbine,2021
0225880,Flat,,,
0201420,Aleknagik,19101,Distillate Fuel Oil,2021
0278790,Tuluksak,,,
0277140,Thorne Bay,1640,Distillate Fuel Oil,2021
0218675,Deltana,105907,Distillate Fuel Oil,2021
0224980,Farmers Loop,752897,Coal,2021
0255910,North Pole,4,Natural Gas,2021
0226870,Fox,375532,Waste Oil,2021
0249200,Mill Bay,25237,Wind,2021
0226835,Four Mile Road,105907,Distillate Fuel Oil,2021
0218950,Dillingham,19101,Distillate Fuel Oil,2021
0238970,Ketchikan,,,
0236540,Kachemak,,,
0216750,College,375532,Waste Oil,2021
0226100,Fort Greely,4,Natural Gas,2021
0208740,Brevig Mission,2641,Distillate Fuel Oil,2021
0273950,Sunrise,2,Distillate Fuel Oil,2021
0264600,Quinhagak,3559,Distillate Fuel Oil,2021
0258330,Oscarville,,,
0203220,Anderson,672,Jet Fuel,2021
0248540,Mentasta Lake,,,
0219750,Dot Lake Village,,,
0216420,Cohoe,391019,Water at Hydroelectric Turbine,2021
0275077,Tanaina,678574,Natural Gas,2021
0266550,Salcha,375532,Waste Oil,2021
0253050,Nenana,60301,Wind,2021
0238090,Kasilof,531260,Natural Gas,2021
0224980,Farmers Loop,4,Natural Gas,2021
0201200,Alakanuk,0,Jet Fuel,2021
0228590,Glacier View,38071,Landfill Gas,2021
0217670,Covenant Life,,,
0275930,Teller,1745,Distillate Fuel Oil,2021
0267020,Sand Point,3596,Distillate Fuel Oil,2021
0233140,Homer,391019,Water at Hydroelectric Turbine,2021
0240645,Knik-Fairview,38071,Landfill Gas,2021
0218925,Diamond Ridge,,,
0271640,Soldotna,391019,Water at Hydroelectric Turbine,2021
0279830,Two Rivers,-3433,Electricity used for Energy Storage,2021
